iter	Passed	Remaining
470	784	880
471	785	878
472	786	876
473	789	876
474	790	874
475	792	872
476	793	870
477	795	868
478	796	866
479	798	864
480	799	862
481	801	860
482	802	859
483	803	857
484	806	856
485	807	854
486	808	852
487	810	850
488	811	848
489	813	846
490	814	844
491	815	842
492	817	840
493	818	838
494	820	837
495	822	835
496	823	833
497	825	831
498	826	829
499	827	827
500	829	826
501	830	824
502	831	822
503	833	820
504	834	818
505	837	817
506	838	815
507	839	813
508	841	811
509	842	809
510	843	807
511	845	805
512	846	803
513	848	801
514	849	799
515	850	798
516	853	797
517	855	795
518	856	794
519	858	792
520	859	790
521	860	788
522	862	786
523	863	784
524	864	782
525	866	780
526	867	778
527	870	778
528	871	776
529	872	774
530	874	772
531	875	770
532	876	768
533	878	766
534	879	764
535	880	762
536	882	760
537	883	758
538	886	758
539	887	756
540	889	754
541	890	752
542	892	750
543	893	748
544	894	747
545	896	745
546	897	743
547	898	741
548	900	739
549	902	738
550	904	736
551	905	734
552	906	733
553	908	731
554	909	729
555	910	727
556	912	725
557	913	723
558	915	721
559	916	720
560	918	718
561	919	716
562	921	715
563	922	713
564	923	711
565	925	709
566	926	707
567	927	705
568	929	703
569	930	702
570	934	701
571	935	700
572	937	698
573	938	696
574	939	694
575	941	692
576	942	690
577	943	689
578	945	687
579	946	685
580	947	683
581	949	681
582	951	680
583	953	678
584	954	677
585	955	675
586	957	673
587	958	671
588	959	669
589	961	667
590	962	666
591	965	665
592	967	664
593	969	662
594	970	660
595	971	658
596	973	656
597	974	655
598	975	653
599	977	651
600	978	649
601	979	647
602	981	645
603	982	644
604	984	642
605	985	640
606	986	639
607	988	637
608	989	635
609	990	633
610	992	631
611	993	629
612	994	628
613	996	626
614	999	625
615	1001	624
616	1002	622
617	1003	620
618	1005	618
619	1006	616
620	1007	615
621	1009	613
622	1010	611
623	1011	609
624	1015	609
625	1016	607
626	1018	605
627	1019	603
628	1020	602
629	1022	600
630	1023	598
631	1024	596
632	1026	594
633	1027	593
634	1028	591
635	1030	589
636	1032	588
637	1033	586
638	1035	584
639	1036	583
640	1037	581
641	1039	579
642	1040	577
643	1042	576
644	1043	574
645	1044	572
646	1046	570
647	1047	568
648	1050	567
649	1054	567
650	1057	567
651	1059	565
652	1060	563
653	1062	562
654	1065	561
655	1070	561
656	1074	560
657	1078	560
658	1081	559
659	1086	559
660	1088	558
661	1092	557
662	1095	556
663	1098	555
664	1101	555
665	1105	554
666	1108	553
667	1111	552
668	1114	551
669	1117	550
670	1118	548
671	1120	546
672	1121	545
673	1123	543
674	1124	541
675	1125	539
676	1127	537
677	1128	536
678	1131	534
679	1134	534
680	1138	533
681	1141	532
682	1146	532
683	1149	530
684	1152	530
685	1154	528
686	1155	526
687	1157	524
688	1158	523
689	1160	521
690	1162	519
691	1165	518
692	1167	517
693	1168	515
694	1170	513
695	1171	511
696	1172	509
697	1174	508
698	1176	506
699	1177	504
700	1180	503
701	1183	502
702	1186	501
703	1190	500
704	1194	499
705	1195	497
706	1197	496
707	1198	494
708	1200	492
709	1201	490
710	1203	489
711	1204	487
712	1206	485
713	1207	483
714	1209	482
715	1211	480
716	1213	479
717	1215	477
718	1216	475
719	1218	473
720	1219	471
721	1220	470
722	1222	468
723	1223	466
724	1225	464
725	1226	462
726	1229	461
727	1230	459
728	1232	458
729	1233	456
730	1235	454
731	1236	452
732	1238	451
733	1239	449
734	1241	447
735	1245	446
736	1247	445
737	1250	444
738	1252	442
739	1254	440
740	1255	438
741	1257	437
742	1259	435
743	1261	433
744	1263	432
745	1264	430
746	1265	428
747	1267	427
748	1268	425
749	1270	423
750	1271	421
751	1273	419
752	1274	418
753	1276	416
754	1278	414
755	1279	412
756	1280	411
757	1282	409
758	1283	407
759	1285	405
760	1286	404
761	1288	402
762	1290	400
763	1293	399
764	1294	397
765	1295	395
766	1297	394
767	1299	392
768	1300	390
769	1302	388
770	1303	387
771	1304	385
772	1306	383
773	1308	381
774	1309	380
775	1311	378
776	1312	376
777	1314	374
778	1315	373
779	1317	371
780	1318	369
781	1319	367
782	1321	366
783	1322	364
784	1324	362
785	1325	361
786	1327	359
787	1329	357
788	1330	355
789	1332	354
790	1333	352
791	1335	350
792	1336	348
793	1337	347
794	1339	345
795	1340	343
796	1343	342
797	1344	340
798	1346	338
799	1347	336
800	1349	335
801	1350	333
802	1351	331
803	1353	329
804	1354	328
805	1356	326
806	1357	324
807	1359	323
808	1361	321
809	1362	319
810	1364	317
811	1365	316
812	1367	314
813	1368	312
814	1369	310
815	1371	309
816	1372	307
817	1374	305
818	1375	304
819	1377	302
820	1378	300
821	1380	298
822	1381	297
823	1383	295
824	1384	293
825	1385	291
826	1387	290
827	1389	288
828	1390	286
829	1395	285
830	1398	284
831	1402	283
832	1404	281
833	1407	280
834	1410	278
835	1414	277
836	1417	276
837	1420	274
838	1423	273
839	1426	271
840	1430	270
841	1434	269
842	1435	267
843	1438	265
844	1440	264
845	1441	262
846	1443	260
847	1445	259
848	1448	257
849	1449	255
850	1451	254
851	1452	252
852	1454	250
853	1455	248
854	1457	247
855	1458	245
856	1460	243
857	1461	241
858	1463	240
859	1464	238
860	1465	236
861	1467	234
862	1468	233
863	1470	231
864	1471	229
865	1473	227
866	1474	226
867	1476	224
868	1477	222
869	1478	220
870	1480	219
871	1481	217
872	1483	215
873	1484	214
874	1486	212
875	1487	210
876	1488	208
877	1490	207
878	1491	205
879	1493	203
880	1494	201
881	1496	200
882	1497	198
883	1498	196
884	1500	194
885	1501	193
886	1503	191
887	1504	189
888	1506	188
889	1507	186
890	1509	184
891	1510	182
892	1511	181
893	1513	179
894	1514	177
895	1516	176
896	1517	174
897	1519	172
898	1520	170
899	1522	169
900	1523	167
901	1525	165
902	1526	163
903	1528	162
904	1530	160
905	1532	158
906	1533	157
907	1535	155
908	1536	153
909	1538	152
910	1540	150
911	1542	148
912	1544	147
913	1545	145
914	1547	143
915	1548	142
916	1550	140
917	1552	138
918	1554	137
919	1555	135
920	1557	133
921	1558	131
922	1560	130
923	1561	128
924	1563	126
925	1564	125
926	1566	123
927	1568	121
928	1570	120
929	1572	118
930	1573	116
931	1575	114
932	1576	113
933	1577	111
934	1579	109
935	1580	108
936	1582	106
937	1583	104
938	1585	102
939	1586	101
940	1588	99
941	1589	97
942	1591	96
943	1592	94
944	1594	92
945	1597	91
946	1599	89
947	1602	87
948	1605	86
949	1608	84
950	1611	83
951	1614	81
952	1617	79
953	1622	78
954	1625	76
955	1629	75
956	1634	73
957	1636	71
958	1639	70
959	1642	68
960	1644	66
961	1647	65
962	1648	63
963	1650	61
964	1651	59
965	1653	58
966	1655	56
967	1656	54
968	1657	53
969	1659	51
970	1660	49
971	1662	47
972	1663	46
973	1664	44
974	1666	42
975	1667	41
976	1669	39
977	1670	37
978	1672	35
979	1673	34
980	1675	32
981	1676	30
982	1677	29
983	1680	27
984	1682	25
985	1686	23
986	1687	22
987	1689	20
988	1690	18
989	1691	17
990	1693	15
991	1694	13
992	1696	11
993	1697	10
994	1698	8
995	1701	6
996	1702	5
997	1704	3
998	1705	1
999	1707	0
