iter	Logloss
0	0.6810638518
1	0.6693039714
2	0.6565891254
3	0.6456073719
4	0.6354210572
5	0.6241236326
6	0.6128872766
7	0.6015136776
8	0.5914072207
9	0.5819231804
10	0.5717980551
11	0.5649096008
12	0.5555171427
13	0.5460668648
14	0.5363464958
15	0.5275245204
16	0.5189332916
17	0.5100408365
18	0.500960221
19	0.4942532631
20	0.4858306775
21	0.4790459432
22	0.4717894316
23	0.4643801645
24	0.4559317431
25	0.4494692102
26	0.4424116463
27	0.434768631
28	0.4279984559
29	0.4210669459
30	0.4143375653
31	0.4080044329
32	0.4021713338
33	0.3958880769
34	0.3896049418
35	0.3848491586
36	0.3786971798
37	0.3735071877
38	0.3681252125
39	0.3620594783
40	0.3571680953
41	0.3533723064
42	0.3478741073
43	0.3434726272
44	0.3384500699
45	0.3336104986
46	0.3296946014
47	0.324976348
48	0.3202190039
49	0.3165779209
50	0.3128725752
51	0.308971862
52	0.3044229044
53	0.3005363145
54	0.2968460924
55	0.2925293153
56	0.2878635586
57	0.2842794474
58	0.2811371318
59	0.2778053312
60	0.274645425
61	0.2710958394
62	0.2676576027
63	0.264259445
64	0.2614920464
65	0.2582984969
66	0.2552444981
67	0.2525158066
68	0.2493598426
69	0.2459611542
70	0.2427072912
71	0.239824707
72	0.2372939603
73	0.2346087247
74	0.2316990145
75	0.2295731956
76	0.227041764
77	0.2246150857
78	0.2220108487
79	0.2192780398
80	0.2170041651
81	0.214727354
82	0.2124991172
83	0.2104421709
84	0.2075107799
85	0.2054101423
86	0.2033414615
87	0.2012475947
88	0.1994255216
89	0.1973420044
90	0.1949280143
91	0.1936094444
92	0.1921262936
93	0.1904057119
94	0.188825261
95	0.1868370203
96	0.1848801054
97	0.1829488203
98	0.1813835277
99	0.1794185114
100	0.1779608824
101	0.1763126503
102	0.1745804904
103	0.1729989185
104	0.1713490591
105	0.1696513783
106	0.1680237319
107	0.1658880735
108	0.1643584096
109	0.1628522387
110	0.1613274734
111	0.160028106
112	0.1580200718
113	0.1564016877
114	0.1551283752
115	0.1534456718
116	0.1521689074
117	0.1510638866
118	0.1503395241
119	0.1489777053
120	0.1475409602
121	0.1462441743
122	0.1451564193
123	0.1443031819
124	0.1429071521
125	0.1416288981
126	0.1404810847
127	0.1395308962
128	0.1384924718
129	0.1373445424
130	0.1362196874
131	0.1353184488
132	0.1341798836
133	0.1329291699
134	0.1321557155
135	0.1309800118
136	0.129734057
137	0.128486267
138	0.1274947485
139	0.1265183685
140	0.1257452916
141	0.1249961467
142	0.1240436189
143	0.1231906552
144	0.1224789711
145	0.1213456253
146	0.120725292
147	0.1201969243
148	0.1191136233
149	0.1180535987
150	0.1173133157
151	0.1163301439
152	0.1155009432
153	0.1146725945
154	0.1136864455
155	0.1127923878
156	0.1119498594
157	0.1109674949
158	0.1102019039
159	0.1094328477
160	0.1084579612
161	0.1077870054
162	0.1070167794
163	0.1062214605
164	0.1055388072
165	0.1046258074
166	0.1040760328
167	0.1034387929
168	0.1026376014
169	0.1018873079
170	0.1011631102
171	0.1004008878
172	0.09959395393
173	0.09901048018
174	0.09842136413
175	0.0978470761
176	0.09707640831
177	0.09671468236
178	0.09595520583
